title,author,date,link,bbs_content
[獎學金] 菁英獎學金,annechu, 6/01,https://www.ptt.cc/bbs/Education/M.1685600931.A.565.html,"【菁英申請資格】

目前就讀大學三年級(含)以上學生、碩士生、博士生，為生命科學、自然科學、工程技術
領域、人文社會(含管理)相關領域系所

「入學後各學期加總平均達85分(含)以上」或「占全班排名前20%」
  且未記過處分、各科成績均及格

碩、博士生由同實驗室教授推薦，碩博生僅可推薦 1 人
【獎學金名額及發放金額】

  大學三(含)年級以上(20名)：6萬/每學期每名
  研究生(12名)：10萬/每學期每名
  博士生、博士後研究(8名)：12萬/每學期每名

【準備文件】

  申請書
  成績單正本
  推薦函及相關證明
  碩、博士生須附前一年度全戶所得證明 (需至國稅局申請)
  其他檢附證明

--
▊
▊
▉
▊
▁
▁
▉▁
▁
--"
[獎學金] 萬海獎助學金,annechu, 6/01,https://www.ptt.cc/bbs/Education/M.1685601922.A.AB5.html,"萬海獎助學金

大學日間部就讀海事、航運管理相關科系之學生，不限中低收入，
有特殊情形非清寒也可以申請萬海獎學金。


【開放申請時間】依各校公告收取時間為準。


【申請資格】

就讀國立台灣海洋大學、高雄科技大學、台灣大學、政治大學商學院、清華大學科技、
陽明交通大學、成功大學、中山大學、台灣科技大學、台北科技大學、淡江大學運輸管理
學系、逢甲大學、海洋科技大學大學部海事或航運管理科系學生

具中華民國國籍

前一學期學業成績平均在65分以上，班上排名為前50%，無不及格科目

操行成績在80分以上，無任何小過以上紀錄

具備家庭經濟弱勢者(不限中低收入戶)

【申請資料】

財團法人萬海航運社會福利慈善事業基金會助學金申請書

前一學期之學業、操行成績證明單

戶口名簿或戶籍謄本影本

可證明家庭經濟情況之相關文件影本

--
▊
▊
▉
▊
▁
▁
▉▁
▁
--"
[獎學金] 112年國立歷史博物館藝術獎助學金,annechu, 6/02,https://www.ptt.cc/bbs/Education/M.1685667225.A.AE9.html,"國立歷史博物館藝術獎助學金

係國內第一座由博物館辦理之統合性藝術類獎助學金，

以紀念臺灣前輩藝術家及推動多元藝術發展為目標。


112年辦理徵件之相關資訊如下:

徵件時間:即日起至 112 年 8 月 31 日止。

申請對象:
凡具備中華民國國籍之 18 歲以上國民，其未經公開發表之論文
或創作作品均可申請。


詳細資訊請洽國立歷史博物館官網
--
▊
▊
▉
▊
▁
▁
▉▁
▁
--"
[服務] 惠明盲校徵求暑假營隊學生志工,annechu, 6/15,https://www.ptt.cc/bbs/Education/M.1686797081.A.114.html,"暑假營隊學生志工需求

惠明盲校在 07/03-07/14 舉辦暑假夏令營（整天）

邀請有興趣的學生蒞校擔任志工 兩週或一週皆可

聯繫電話 : 04-25661024分機120。

◎主要任務：

  1.協助班級內活動。
  2.移行學生
  3.協助如廁
  4.其他

◎福利：
  1.提供志工時數
  2.若服務整天則會提供午餐。


以上

謝謝大家:)

--
▊
▊
▉
▊
▁
▁
▉▁
▁
--"
[獎學金] 宜蘭縣政府112年優秀學生獎學金,annechu, 6/01,https://www.ptt.cc/bbs/Education/M.1685601497.A.FAE.html,"宜蘭縣政府112年優秀學生獎學金
為獎勵優秀學生，宜蘭縣政府特別辦理「中等以上學校優秀學生獎學金」，
成績優異的學生，非清寒也可以申請 ! 一般學生高中組、大學組
各有 20 個名額。


【開放申請時間】

  第一學期：2023/3/1~3/20 17:00G
  第二學期：2023/9/1~9/20 17:00

【申請資格】

  1.設籍宜蘭縣，為就讀國內大學、獨立院校、專科學校及高中(職)校之學生
    (不含夜校、補校、研究所、實習生、在職進修及空中大學之學生)

  2.學業平均成績及操行成績在80分以上


【申請方式】

  網路申請

--
▊
▊
▉
▊
▁
▁
▉▁
▁
--"
[心得] 學國文的podcast,Neal121, 3/26,https://www.ptt.cc/bbs/Education/M.1616770149.A.5D0.html,"最近發現一個很好的國文
podcast節目，推薦給大家

學文學，闖江湖的podcast，
內容是國文課本與重要篇章的延伸討論，
可以增加思辨能力，
很適合國高中生一邊寫作業，一邊收聽，
面對繁重的課業，多利用好的方式學習，
有助於國文的進步喔！
大力推薦

連結：
Apple　podcast:
安卓Spotify:
--"
[分享] 學習歷程檔案對功課好的孩子更加有害,ostracize, 6/10,https://www.ptt.cc/bbs/Education/M.1623285084.A.DEC.html,"李家同
 前幾天聯合報登載了一篇文章，述說為了要使高中生的學習歷程檔案漂亮，很多家長求
救於補習班。我們國家有了一種新的職業，叫做教育顧問。我們必須要好好檢討這些教育
顧問對孩子的教育究竟是有益還是有害。大多數人都感到這種強調學習歷程檔案的做法對
弱勢孩子極為不利，因為他們不可能在學習歷程檔案上有相當好的表現。可是我要在此指
出，對國家很多城市裡功課好的孩子們來說，學習歷程檔案的做法對他們絕對有害。
 我們要知道，高中不過是給學生打好基礎而已，現在的做法減少了必修課，增加了很多
選修課。絕大多數的學生對這些學問都是一知半解，我也當過高中生，那時候也學了物理
、化學等等，我當時就知道自己根本沒有完全搞懂。現在減少必修課的做法，將使高中生
的基礎更加不穩。至於那些選修課，頂多讓高中生知道了一些名詞而已，可是這些選修課
對於學習歷程檔案是有利的。這種做法對於功課好的學生而言，其實是不利的，因為他們
的基礎學問更加薄弱。
 功課好的學生想進入好的大學，為了使得自己的學習歷程檔案看上去很漂亮，很多人要
設法寫一些所謂的小論文，如果這些學生花很多時間來寫小論文，其實他花在消化基本學
問上的時間就會被壓縮。更嚴重的是，現在很多孩子必須求救於補習班，根據媒體的報導
，這種補習班所製造出來的學習歷程檔案幾乎是作假，要知道，為了產出學習歷程的學習
歷程不能算是真的學習歷程。媒體甚至出現了”代筆”二字，使很多人感到非常傷心，因
為這對於孩子的教育是有深遠影響的。我們要提高警惕的是，教育絕對不能鼓勵學生有作
假的行為。如果他們發現作假對自己有利，將來長大成人，可能也會故技重施。對個人、
對國家，都是相當不好的。
 聯合報的那篇文章使得很多人覺得事態非常嚴重，他們並不是只關心這種做法是否會拉
大城鄉差距，而是關心很多想進好大學的學生，學習歷程檔案對他們的基本學問和品格很
可能有負面影響，而且會使他們身心俱疲。希望教育部的官員們能夠注意到這一點。
--
宋晏仁醫師逆轉糖尿病
--"
[問題] 為什麼畢業典禮不是在學期最後一天?,naomi740116, 6/16,https://www.ptt.cc/bbs/Education/M.1655338609.A.1A3.html,"六月畢業季到來
從幼稚園到大學、碩士、博士班等等
各校陸續舉辦畢業典禮

跟朋友聊到
為何~畢業典禮不是在學期的最後一天?
而是要提早一兩周，有些甚至是一個月呢?

我回答要先計算成績，安排獎項等等
但朋友回答，其他年級也是要統計成績阿
期末的各項程序，大家其實都一樣
所以這個理由無法滿足他 XD

另外一種討論點則是
跟隨過往的行事曆時間點舉辦
那~最一開始提早舉辦的畢業典禮，為什麼決定這樣安排呢?

因此上來跟各位請教
畢業典禮為什麼不是在學期末最後一天，而是會提早呢?

--"
[問題] 有關於小孩子數位學習,john01912,12/19,https://www.ptt.cc/bbs/Education/M.1639899648.A.EC6.html,"最近去一些親子展覽
都會有類似業務
但是他們都說是在推廣數位教育的志工
然後借場地宣導
主要內容是說從SARS開始
國家就開始推動這個政策
用一台電腦然後插上隨身碟或硬碟的東西就可以讓小孩子以玩遊戲的方式去學習
主打蒙特梭利教育
講的天花亂墜
然後一個月2980元
繳完37個月就可以綁死
可以用在三個小孩身上
還可以有考卷
不知道版上有沒有使用經驗的家長
我主要考量：
1、數位教材只到國小，國中後怎麼銜接？
(志工說因為還是會有紙本教學，這個只是輔助所以不會有這個問題。)
2、內容真的可以幫助小孩子學習嗎？主要是怕三分鐘熱度？
3、小孩教學依賴3C是趨勢嗎？

--
Sent from nPTT on my iPhone 11

--"
[心得] 波波？ So What?,GWayneChen, 8/09,https://www.ptt.cc/bbs/Education/M.1628486106.A.72A.html,"幫朋友代po, 以下為內文：

對，我就是個“波波”

近期在台灣家教網上面Po文徵學生，作為家教的網站，本來大家的討論重心應該集中在老師
的執教能力上，沒想到許多人的焦點竟然落在了說我是個波波上（＠最後一張圖讓我保護一
下當事人，十分感謝替我說話的人！）。哈哈連一年多前為波蘭政府教育推廣部做的影片下
面也收集了不少留言 （想看可以點IG自介內的連結）

高中時期我曾在興大附中（國立大里高中）讀著實驗班，那時也跟著大家罵過波波，覺得
憑什麼多花點錢、出個國就能夠讀醫學系。那時的我也活在另類的同溫層，被環境所影響了
，跟隨了大流，沒特別思考事件的緣由。現在回想起來，當時/現在大家最擔憂的還是這些
從波蘭醫學生的能力，但民眾太過以偏概全，否認了全部的波蘭留學生，其中也包含一大批
認真學醫，努力上進的留學生。

我個人因為學測失利，繁星的機會就這樣丟了，一切的努力竟被一次的測驗全部推翻。我
不想放棄，於是在重考班又度過了一年，結果仍然只有70多級分，還是勾不到醫學系的邊。

更為諷刺的是，我在同時期申請的香港中文大學等的中醫系，竟在面試不到12小時就收到
錄取通知。我十分不解，同樣一個人，一樣的portfolio，在台灣因為一個二位數，連面試
的機會都沒有，香港的學校卻在面試後速速給我發送了錄取通知書。

奈何命運就是這麼有趣，當年罵過波波的我，最後還是來到了波蘭學醫（想聽詳細why留
言讓我知道！）。在波蘭學醫期間，除了在課堂認真學醫以外，我豐富了自己的課外生活、
提升自己的綜合能力。離開了重考班的我有幸成為了英國文化協會的雅思大使，並在隔年成
為了波蘭政府的教育推廣大使。身為一個波波，我上了新聞、電台，一開始這也讓我有些焦
慮，害怕成為眾矢之的，但轉念想想，若能爭取到這些機構的肯定，我相信這也會讓他人看
到我身上的亮點。這裡由衷的感謝給予我信心及支持的各位。

比如在興大附中時期慶幸遇到了許多恩師，其中包括現任的陳勇延校長，不僅時常來鼓勵
我追求夢想，還替我寫了推薦信。我要感謝的師長太多了，實在無法一一列舉。但他們都是
我能成為今天的自己的原因。

寫這篇文章只是想說，用一數字來決定一個人的努力真得足夠嗎？

哈哈抱歉，偏離主題了，最後只想說，一個好學校也會有不求上進因此落魄的人，一個普
通的學校也會有優秀且努力的人。一個人的學歷不代表著一切，一切皆取決於這個學生如何
培養自己。我一直不在乎別人叫我波波，那只是一個名詞，不阻止我努力學習知識、提升自
己，相反的它激勵我成為一個更優秀的“波波”。期許自己能夠在這個世界站穩腳跟，大概
最有作用的還是投資自己吧！

現在這個世界變化的速度實在驚人，diversity is now a norm. 我一直期許自己保持開
放的態度面對一切，不以偏概全、更不先入為主，期待自己在這多元的社會中接納一切與我
不太一樣的新鮮人事物。不知道大家覺得如何呢？留留言告訴我你的想法吧！

或許這樣，我們、台灣會變得更好！祝福各位

也附上好讀版連結：
--"
